Date,living,econ,living_log,living_lndiff,econ_log,econ_lndiff
2008-09-01,73.0,41.0,4.290459441148391,,3.713572066704308,
2008-10-01,70.0,30.0,4.248495242049359,-0.041964199099031596,3.4011973816621555,-0.3123746850421525
2008-11-01,73.0,30.0,4.290459441148391,0.041964199099031596,3.4011973816621555,0.0
2008-12-01,70.0,23.0,4.248495242049359,-0.041964199099031596,3.1354942159291497,-0.2657031657330058
2009-01-01,70.0,32.0,4.248495242049359,0.0,3.4657359027997265,0.33024168687057687
2009-02-01,77.0,39.0,4.343805421853684,0.09531017980432477,3.6635616461296463,0.19782574332991976
2009-03-01,69.0,36.0,4.23410650459726,-0.10969891725642444,3.58351893845611,-0.08004270767353638
2009-04-01,81.0,61.0,4.394449154672439,0.16034265007517945,4.110873864173311,0.5273549257172014
2009-05-01,85.0,91.0,4.442651256490317,0.04820210181787754,4.51085950651685,0.3999856423435384
2009-06-01,86.0,92.0,4.454347296253507,0.011696039763190669,4.5217885770490405,0.010929070532190721
2009-07-01,88.0,93.0,4.477336814478207,0.022989518224699523,4.532599493153256,0.010810916104215806
2009-08-01,94.0,111.0,4.543294782270004,0.06595796779179697,4.709530201312334,0.17693070815907763
2009-09-01,94.0,112.0,4.543294782270004,0.0,4.718498871295094,0.008968669982760247
2009-10-01,98.0,118.0,4.584967478670572,0.041672696400568476,4.770684624465665,0.05218575317057095
2009-11-01,94.0,106.0,4.543294782270004,-0.041672696400568476,4.663439094112067,-0.10724553035359818
2009-12-01,92.0,105.0,4.5217885770490405,-0.02150620522096336,4.653960350157523,-0.009478743954543845
2010-01-01,92.0,101.0,4.5217885770490405,0.0,4.61512051684126,-0.038839833316263395
2010-02-01,92.0,95.0,4.5217885770490405,0.0,4.553876891600541,-0.06124362524071891
2010-03-01,91.0,100.0,4.51085950651685,-0.010929070532190721,4.605170185988092,0.051293294387551036
2010-04-01,93.0,95.0,4.532599493153256,0.021739986636406528,4.553876891600541,-0.051293294387551036
2010-05-01,89.0,98.0,4.48863636973214,-0.043963123421116634,4.584967478670572,0.03109058707003154
2010-06-01,91.0,101.0,4.51085950651685,0.022223136784710107,4.61512051684126,0.030153038170687374
2010-07-01,92.0,102.0,4.5217885770490405,0.010929070532190721,4.624972813284271,0.009852296443011
2010-08-01,92.0,100.0,4.5217885770490405,0.0,4.605170185988092,-0.019802627296178876
2010-09-01,86.0,94.0,4.454347296253507,-0.06744128079553313,4.543294782270004,-0.06187540371808797
2010-10-01,89.0,91.0,4.48863636973214,0.034289073478632304,4.51085950651685,-0.03243527575315408
2010-11-01,90.0,93.0,4.499809670330265,0.01117330059812538,4.532599493153256,0.021739986636406528
2010-12-01,90.0,90.0,4.499809670330265,0.0,4.499809670330265,-0.032789822822991255
2011-01-01,91.0,87.0,4.51085950651685,0.011049836186584727,4.465908118654584,-0.03390155167568132
2011-02-01,88.0,81.0,4.477336814478207,-0.03352269203864289,4.394449154672439,-0.07145896398214457
2011-03-01,82.0,62.0,4.406719247264253,-0.07061756721395351,4.127134385045092,-0.26731476962734746
2011-04-01,83.0,73.0,4.418840607796598,0.012121360532344916,4.290459441148391,0.16332505610329928
2011-05-01,82.0,80.0,4.406719247264253,-0.012121360532344916,4.382026634673881,0.09156719352549025
2011-06-01,83.0,75.0,4.418840607796598,0.012121360532344916,4.31748811353631,-0.06453852113757108
2011-07-01,83.0,78.0,4.418840607796598,0.0,4.356708826689592,0.03922071315328157
2011-08-01,83.0,67.0,4.418840607796598,0.0,4.204692619390966,-0.15201620729862597
2011-09-01,80.0,61.0,4.382026634673881,-0.03681397312271706,4.110873864173311,-0.09381875521765437
2011-10-01,84.0,65.0,4.430816798843313,0.04879016416943216,4.174387269895637,0.06351340572232544
2011-11-01,85.0,72.0,4.442651256490317,0.011834457647003305,4.276666119016055,0.10227884912041851
2011-12-01,84.0,68.0,4.430816798843313,-0.011834457647003305,4.219507705176107,-0.05715841383994835
2012-01-01,83.0,65.0,4.418840607796598,-0.011976191046715101,4.174387269895637,-0.04512043528047016
2012-02-01,85.0,68.0,4.442651256490317,0.023810648693718406,4.219507705176107,0.04512043528047016
2012-03-01,84.0,70.0,4.430816798843313,-0.011834457647003305,4.248495242049359,0.028987536873252395
2012-04-01,85.0,76.0,4.442651256490317,0.011834457647003305,4.330733340286331,0.0822380982369717
2012-05-01,86.0,78.0,4.454347296253507,0.011696039763190669,4.356708826689592,0.02597548640326064
2012-06-01,86.0,72.0,4.454347296253507,0.0,4.276666119016055,-0.08004270767353638
2012-07-01,84.0,69.0,4.430816798843313,-0.023530497410193973,4.23410650459726,-0.04255961441879563
2012-08-01,85.0,67.0,4.442651256490317,0.011834457647003305,4.204692619390966,-0.029413885206293955
2012-09-01,79.0,62.0,4.3694478524670215,-0.07320340402329517,4.127134385045092,-0.07755823434587406
2012-10-01,84.0,68.0,4.430816798843313,0.061368946376291866,4.219507705176107,0.09237332013101529
2012-11-01,87.0,67.0,4.465908118654584,0.03509131981127034,4.204692619390966,-0.014815085785141235
2012-12-01,81.0,64.0,4.394449154672439,-0.07145896398214457,4.1588830833596715,-0.04580953603129423
2013-01-01,88.0,64.0,4.477336814478207,0.08288765980576773,4.1588830833596715,0.0
2013-02-01,86.0,69.0,4.454347296253507,-0.022989518224699523,4.23410650459726,0.07522342123758818
2013-03-01,87.0,71.0,4.465908118654584,0.011560822401076365,4.2626798770413155,0.028573372444055778
