curr_living_CSI,Trading_Volume_KOSPI,Trading_Volume_KOSDAQ,curr_living_CSI_log,curr_living_CSI_lndiff,Trading_Volume_KOSPI_log,Trading_Volume_KOSPI_lndiff,Trading_Volume_KOSDAQ_log,Trading_Volume_KOSDAQ_lndiff
89.0,325990719.0,10073390977.0,4.48863636973214,,19.60237946960057,,23.033163227508904,
89.0,347844469.0,8358037728.0,4.48863636973214,0.0,19.66726600967567,0.06488654007510064,22.84648951496051,-0.18667371254839438
90.0,386901367.0,11642431084.0,4.499809670330265,0.01117330059812538,19.773680352877218,0.1064143432015463,23.177922113456066,0.3314325984955566
92.0,526493310.0,14123666733.0,4.5217885770490405,0.02197890671877545,20.08174918290487,0.3080688300276506,23.371117718939775,0.19319560548370873
93.0,410489649.0,9157482398.0,4.532599493153256,0.010810916104215806,19.832861270948097,-0.2488879119567713,22.937837130475074,-0.43328058846470086
90.0,417031481.0,11738556601.0,4.499809670330265,-0.032789822822991255,19.848672270918343,0.015810999970245376,23.18614469668383,0.24830756620875505
89.0,581402949.0,15182482308.0,4.48863636973214,-0.01117330059812538,20.180954618315607,0.33228234739726403,23.443408120446342,0.2572634237625131
90.0,418444301.0,9834948130.0,4.499809670330265,0.01117330059812538,19.852054347041058,-0.3289002712745486,23.009208014752172,-0.43420010569417045
91.0,502576652.0,13249965199.0,4.51085950651685,0.011049836186584727,20.035258727557796,0.18320438051673804,23.307260762884628,0.29805274813245575
92.0,627928888.0,16232552488.0,4.5217885770490405,0.010929070532190721,20.25793748235204,0.22267875479424504,23.510284475854704,0.20302371297007582
92.0,428507715.0,15782865780.0,4.5217885770490405,0.0,19.87581930050747,-0.3821181818445716,23.482190744240356,-0.028093731614347917
91.0,452771104.0,14528333813.0,4.51085950651685,-0.010929070532190721,19.930897266562486,0.05507796605501625,23.399366635757787,-0.08282410848256916
90.0,365077242.0,12282108706.0,4.499809670330265,-0.011049836186584727,19.715619511075815,-0.21527775548667094,23.231409463653076,-0.1679571721047104
90.0,343851660.0,9698972666.0,4.499809670330265,0.0,19.65572090140496,-0.05989860967085647,22.995285806125164,-0.2361236575279122
91.0,352145268.0,13175527417.0,4.51085950651685,0.011049836186584727,19.67955434160978,0.0238334402048217,23.301626962223445,0.3063411560982807
91.0,398675819.0,13460063365.0,4.51085950651685,0.0,19.803659160901084,0.12410481929130412,23.322992868804214,0.02136590658076898
91.0,482527387.0,14548294549.0,4.51085950651685,0.0,19.994548237754252,0.1908890768531677,23.40073961056677,0.07774674176255658
91.0,467397287.0,20675381004.0,4.51085950651685,0.0,19.962690175602035,-0.031858062152217315,23.752209505933042,0.3514698953662716
91.0,384192082.0,19760510470.0,4.51085950651685,0.0,19.76665319902858,-0.1960369765734562,23.706951362434477,-0.04525814349856461
91.0,354783782.0,14400595340.0,4.51085950651685,0.0,19.68701909709565,-0.0796341019329283,23.390535385729322,-0.3164159767051551
91.0,465878883.0,13928507471.0,4.51085950651685,0.0,19.959436250582733,0.2724171534870834,23.357203474058714,-0.033331911670607894
92.0,331853170.0,11633069899.0,4.5217885770490405,0.010929070532190721,19.620203170019245,-0.33923308056348844,23.177117732445186,-0.18008574161352797
90.0,300482242.0,13352640078.0,4.499809670330265,-0.02197890671877545,19.520899215351438,-0.09930395466780695,23.31497996089269,0.13786222844750284
89.0,287424519.0,13886929621.0,4.48863636973214,-0.01117330059812538,19.47647084112264,-0.044428374228797196,23.354213919673565,0.03923395878087632
87.0,421216163.0,14318999510.0,4.465908118654584,-0.02272825107755594,19.85865671118205,0.3821858700594092,23.384853129418012,0.03063920974444656
88.0,356446709.0,18456009885.0,4.477336814478207,0.011428695823623158,19.69169530277383,-0.16696140840821982,23.6386558934159,0.25380276399788926
89.0,403181696.0,18855134883.0,4.48863636973214,0.01129955525393278,19.81489787686557,0.12320257409173863,23.66005112133043,0.021395227914528192
90.0,386472100.0,15834748218.0,4.499809670330265,0.01117330059812538,19.772570237099004,-0.042327639766565284,23.48547261646327,-0.17457850486715998
92.0,369913580.0,13190574662.0,4.5217885770490405,0.02197890671877545,19.728779968753823,-0.043790268345180294,23.302768370732643,-0.18270424573062627
94.0,356375633.0,13157430772.0,4.543294782270004,0.02150620522096336,19.691495881414404,-0.0372840873394189,23.300252513692524,-0.0025158570401195846
95.0,296444141.0,11606676814.0,4.553876891600541,0.010582109330536937,19.50736936404985,-0.18412651736455388,23.174846356885624,-0.12540615680689982
94.0,260176635.0,12697531035.0,4.543294782270004,-0.010582109330536937,19.376871323700218,-0.1304980403496323,23.264673404818613,0.08982704793298879
94.0,278224392.0,13843379027.0,4.543294782270004,0.0,19.443938511539677,0.06706718783945931,23.351072906686042,0.0863995018674295
94.0,315726188.0,9568663511.0,4.543294782270004,0.0,19.570385902257662,0.12644739071798483,22.981759378635754,-0.36931352805028794
96.0,339752527.0,16788926477.0,4.564348191467836,0.021053409197832273,19.643728048789793,0.07334214653213067,23.54398536775468,0.5622259891189252
94.0,302527710.0,20377109108.0,4.543294782270004,-0.021053409197832273,19.52768343454563,-0.11604461424416357,23.73767800521915,0.1936926374644692
94.0,375160482.0,25448023937.0,4.543294782270004,0.0,19.742864444389344,0.21518100984371458,23.95990393201683,0.22222592679768027
94.0,404512014.0,16070243896.0,4.543294782270004,0.0,19.818191994887023,0.07532755049767914,23.500235193680847,-0.45966873833598143
95.0,384709746.0,17897027088.0,4.553876891600541,0.010582109330536937,19.76799970142814,-0.05019229345888476,23.607900451530295,0.10766525784944747
