date,News,curr_econ_CSI,durable_consume_exp_CSI,eatout_consume_exp_CSI,travel_consume_exp_CSI
2013-02-01,-0.0643097297606623,0.029413885206293955,-0.01129955525393278,-0.03509131981127034,-0.012270092591814219
2013-03-01,0.03407737143576295,0.05635293655113127,0.01129955525393278,0.03509131981127034,0.036367644170874236
2013-04-01,-0.041641704024689474,0.013605652055779238,-0.01129955525393278,-0.011560822401076365,0.0
2013-05-01,0.05866383061278224,0.06538275926285131,0.01129955525393278,0.022989518224699523,0.023530497410193973
2013-06-01,-0.08917112461745091,0.03727139479723185,0.022223136784710107,0.0,0.022989518224699523
2013-07-01,0.06200512019830118,0.0,-0.011049836186584727,0.0,0.0
2013-08-01,-0.034322073128472574,-0.012270092591814219,0.02197890671877545,0.02247285585205816,-0.011428695823623158
2013-09-01,0.12278639170463279,-0.050643732818755005,-0.010929070532190721,-0.01117330059812538,-0.023256862164267034
2013-10-01,-0.09405063086394261,0.08701137698962924,0.021739986636406528,0.01117330059812538,0.03468555798789019
2013-11-01,0.06456494505650401,0.03509131981127034,0.02127739844728449,0.0,0.0
2013-12-01,-0.045925661976980336,-0.03509131981127034,-0.02127739844728449,0.0,-0.011428695823623158
2014-01-01,-0.03301117041570212,0.0,0.010695289116747553,0.02197890671877545,0.044951387862266046
2014-02-01,0.042921440438033365,0.011834457647003305,-0.02150620522096336,-0.02197890671877545,0.0
2014-03-01,0.06790342360588397,0.03468555798789019,0.010810916104215806,0.0,0.010929070532190721
2014-04-01,0.006696026549420253,0.03352269203864289,0.0,0.011049836186584727,0.02150620522096336
2014-05-01,-0.018668748499713672,-0.1801261662305187,0.010695289116747553,0.0,-0.04348511193973881
2014-06-01,-0.00936866421137239,0.03871451218069044,0.010582109330536937,0.0,0.032789822822991255
2014-07-01,0.02431230214243918,-0.051959738930711374,-0.02127739844728449,0.010929070532190721,0.010695289116747553
2014-08-01,0.040691842510179654,0.076961041136129,0.010695289116747553,0.010810916104215806,-0.04348511193973881
2014-09-01,-0.06275156057491138,0.024391453124159135,0.010582109330536937,-0.032789822822991255,0.011049836186584727
2014-10-01,-0.05955519776736118,-0.049392755329576765,-0.02127739844728449,0.0,-0.022223136784710107
2014-11-01,0.0887663169897186,-0.06538275926285131,0.0,0.0,0.0
2014-12-01,-0.05096830657173346,-0.04138521616285473,-0.010810916104215806,-0.02247285585205816,-0.01129955525393278
2015-01-01,0.04448653761973986,0.04138521616285473,0.02150620522096336,0.01129955525393278,0.02247285585205816
2015-02-01,0.017630788442455803,-0.04138521616285473,-0.02150620522096336,0.01117330059812538,0.011049836186584727
2015-03-01,0.06060804077243631,0.013986241974739855,0.0,-0.01117330059812538,0.0
2015-04-01,0.023423549497838536,0.06713930283762881,0.0,0.01117330059812538,0.010929070532190721
2015-05-01,-0.055503213035560606,0.025642430613337375,0.02150620522096336,0.02197890671877545,0.02150620522096336
2015-06-01,-0.08218331022092329,-0.1950605825713847,-0.02150620522096336,-0.04445176257083361,-0.05465841253786419
2015-07-01,0.02011942834679914,-0.031252543504104224,-0.010929070532190721,0.03352269203864289,0.043963123421116634
2015-08-01,-0.07597823625642697,0.11954515064978288,0.021739986636406528,0.0,-0.032789822822991255
2015-09-01,0.05427134850293669,0.027779564107075494,0.0,0.0,0.011049836186584727
2015-10-01,0.08759869993071945,0.10398971352404818,0.010695289116747553,0.0,0.010929070532190721
2015-11-01,-0.033860774206169175,-0.02500130220541763,0.021053409197832273,0.021739986636406528,0.0
2015-12-01,-0.0472058359902956,-0.051959738930711374,-0.031748698314579826,-0.032789822822991255,-0.010929070532190721
2016-01-01,-0.05328382055911529,-0.09798040836020316,0.010695289116747553,-0.01117330059812538,-0.022223136784710107
2016-02-01,-0.01795229568373724,-0.04512043528047016,-0.02150620522096336,-0.01129955525393278,0.0
2016-03-01,0.09482855382574229,0.05971923470162288,0.010810916104215806,0.01129955525393278,0.03315220731690083
2016-04-01,-0.029628175492788067,0.06995858860691051,-0.010810916104215806,0.01117330059812538,0.010810916104215806
2016-05-01,-0.04112804902516132,-0.055569851154810834,-0.010929070532190721,-0.01117330059812538,-0.010810916104215806
2016-06-01,-0.05888750686243682,-0.028987536873252395,0.010929070532190721,0.0,0.0
2016-07-01,0.1416153343977289,0.0431721718652085,0.010810916104215806,0.01117330059812538,0.0320883145515003
2016-08-01,-0.06631720284141984,0.04138521616285473,0.010695289116747553,0.02197890671877545,-0.04301738508369102
2016-09-01,-0.08865890006200594,-0.027398974188114877,0.0,0.0,0.010929070532190721
2016-10-01,0.011714135497380873,0.0,0.010582109330536937,-0.010929070532190721,-0.010929070532190721
2016-11-01,0.000988305137271439,-0.1823215567939549,-0.04301738508369102,-0.03352269203864289,-0.03352269203864289
2016-12-01,0.031865308791134694,-0.08701137698962924,-0.011049836186584727,0.0,0.01129955525393278
2017-01-01,0.04510792754130577,-0.07550755250814545,0.0,-0.011428695823623158,0.01117330059812538
2017-02-01,-0.004277427847778625,0.07550755250814545,0.0,-0.011560822401076365,0.0
2017-03-01,0.026985125137785282,0.07020425867324853,0.02197890671877545,0.034289073478632304,0.032789822822991255
2017-04-01,0.12891365407703415,0.15656906069153997,0.010810916104215806,0.01117330059812538,0.031748698314579826
2017-05-01,0.014220303791169897,0.17261274266699367,0.031748698314579826,0.032789822822991255,0.010362787035546717
2017-06-01,-0.038976231633661484,0.12588024588900293,0.0,0.0,0.010256500167189486
2017-07-01,-0.0006268189146352299,0.031748698314579826,0.010362787035546717,0.010695289116747553,0.010152371464017484
