date,News,curr_econ_CSI,large_supermarket,supermarket
2013-02-01,-0.0643097297606623,0.029413885206293955,-0.007200751185582277,0.015474196582597521
2013-03-01,0.03407737143576295,0.05635293655113127,0.0009029345985922532,-0.032182201959702894
2013-04-01,-0.041641704024689474,0.013605652055779238,0.02142939145589917,-0.004967720101934248
2013-05-01,0.05866383061278224,0.06538275926285131,0.0,-0.000996512289739293
2013-06-01,-0.08917112461745091,0.03727139479723185,-0.0008837826470076138,0.005964232391673541
2013-07-01,0.06200512019830118,0.0,0.009678914099835012,0.012801750410040391
2013-08-01,-0.034322073128472574,-0.012270092591814219,-0.020345681904029966,0.007797310460031959
2013-09-01,0.12278639170463279,-0.050643732818755005,0.012433552716080598,-0.008776263059016465
2013-10-01,-0.09405063086394261,0.08701137698962924,0.0052817024191762485,0.009746665852294889
2013-11-01,0.06456494505650401,0.03509131981127034,0.030266036940859387,0.008691508118458202
2013-12-01,-0.045925661976980336,-0.03509131981127034,-0.04530391430539993,-0.023347363996991
2014-01-01,-0.03301117041570212,0.0,-0.012556218775412908,0.09745533615071267
2014-02-01,0.042921440438033365,0.011834457647003305,0.0018034269991504814,-0.11332868530700235
2014-03-01,0.06790342360588397,0.03468555798789019,-0.018182319083190457,0.059211859631845165
2014-04-01,0.006696026549420253,0.03352269203864289,0.005489492284771913,-0.012328273732995498
2014-05-01,-0.018668748499713672,-0.1801261662305187,0.015391883767583714,-0.004782409880214722
2014-06-01,-0.00936866421137239,0.03871451218069044,-0.015391883767583714,-0.005769246771245129
2014-07-01,0.02431230214243918,-0.051959738930711374,-0.011932220506970737,0.0
2014-08-01,0.040691842510179654,0.076961041136129,0.03448617607116944,-0.01652930195121094
2014-09-01,-0.06275156057491138,0.024391453124159135,-0.1013049188234767,-0.05026183478088786
2014-10-01,-0.05955519776736118,-0.049392755329576765,0.07600998392785563,0.0811523218002268
2014-11-01,0.0887663169897186,-0.06538275926285131,-0.008268306176947071,-0.03187136007493052
2014-12-01,-0.05096830657173346,-0.04138521616285473,0.0,0.04227334511922276
2015-01-01,0.04448653761973986,0.04138521616285473,-0.05012869798263164,-0.03933360757829796
2015-02-01,0.017630788442455803,-0.04138521616285473,0.06113798349100108,-0.007858586612520924
2015-03-01,0.06060804077243631,0.013986241974739855,-0.06307973167391179,0.008836581800498067
2015-04-01,0.023423549497838536,0.06713930283762881,0.05483415128716018,0.016481226183791442
2015-05-01,-0.055503213035560606,0.025642430613337375,-0.009242209964821058,0.005752652489450227
2015-06-01,-0.08218331022092329,-0.1950605825713847,-0.08322014282640033,0.010461341245369127
2015-07-01,0.02011942834679914,-0.031252543504104224,0.06919466747189595,-0.01525291725526845
2015-08-01,-0.07597823625642697,0.11954515064978288,-0.039371383637218926,0.0019193863858033566
2015-09-01,0.05427134850293669,0.027779564107075494,0.09254614612447476,0.0028721896240959666
2015-10-01,0.08759869993071945,0.10398971352404818,-0.06073623518783222,-0.010571938925399316
2015-11-01,-0.033860774206169175,-0.02500130220541763,0.01038234904221813,0.0028943580263645075
2015-12-01,-0.0472058359902956,-0.051959738930711374,-0.019915309700941464,-0.01651324556116851
2016-01-01,-0.05328382055911529,-0.09798040836020316,0.004777839953712615,0.056178501953600524
2016-02-01,-0.01795229568373724,-0.04512043528047016,-0.00957861729706977,-0.07696104113612812
2016-03-01,0.09482855382574229,0.05971923470162288,-0.03925921245067343,0.01783991812833019
2016-04-01,-0.029628175492788067,0.06995858860691051,0.02958795718549556,0.029997411285829223
2016-05-01,-0.04112804902516132,-0.055569851154810834,-0.0078049176693841815,-0.006695386082984811
2016-06-01,-0.05888750686243682,-0.028987536873252395,0.003910073407843662,-0.022320189090587306
2016-07-01,0.1416153343977289,0.0431721718652085,0.03451924704147391,0.02327942177804765
2016-08-01,-0.06631720284141984,0.04138521616285473,0.03518881578963917,0.009542057133202775
2016-09-01,-0.08865890006200594,-0.027398974188114877,-0.01282068842906181,-0.056655774975382656
2016-10-01,0.011714135497380873,0.0,0.0036798569584002294,0.05475463371835865
2016-11-01,0.000988305137271439,-0.1823215567939549,-0.013869847864150131,-0.014374948057523262
2016-12-01,0.031865308791134694,-0.08701137698962924,-0.05158736879049375,0.008649741579483283
2017-01-01,0.04510792754130577,-0.07550755250814545,-0.10101268272172259,-0.0009573959563269341
2017-02-01,-0.004277427847778625,0.07550755250814545,0.1600212358498334,-0.0019175461292721963
2017-03-01,0.026985125137785282,0.07020425867324853,-0.053143433675712615,0.009551170984343216
2017-04-01,0.12891365407703415,0.15656906069153997,0.005830920310793353,-0.01051132468268623
2017-05-01,0.014220303791169897,0.17261274266699367,0.027713192572474732,0.0
2017-06-01,-0.038976231633661484,0.12588024588900293,-0.009469767737031454,-0.002886004889135485
2017-07-01,-0.0006268189146352299,0.031748698314579826,0.012293299024638493,-0.00579711768432567
2017-08-01,-0.153121113273321,-0.031748698314579826,-0.021853601286620616,-0.0029112102074586588
2017-09-01,0.05533564028212279,-0.06669137449867257,-0.015489177042460334,0.011594332780919814
2017-10-01,0.0837134385081102,0.044951387862266046,0.12200176656043205,-0.012566622599858412
2017-11-01,0.06506073214538599,0.07410797215372256,-0.06327277101173134,0.024028066118864544
2017-12-01,-0.07061756721395351,-0.03109058707003154,-0.057753861390494876,-0.018208457065600925
2018-01-01,0.03332893259791181,-0.054067221270275745,0.0048614582862454014,0.020105990841792654
2018-02-01,-0.07340138318244094,-0.01117330059812538,0.0,0.011310205391586337
2018-03-01,-0.016683033142224524,-0.02272825107755594,0.003872221682509114,-0.006582064195640669
