date,News,curr_econ_CSI,department_store
2013-02-01,-0.0643097297606623,0.029413885206293955,-0.002522069432709273
2013-03-01,0.03407737143576295,0.05635293655113127,0.02903563576458179
2013-04-01,-0.041641704024689474,0.013605652055779238,-0.017320020592019425
2013-05-01,0.05866383061278224,0.06538275926285131,0.0
2013-06-01,-0.08917112461745091,0.03727139479723185,0.003322262191978176
2013-07-01,0.06200512019830118,0.0,-0.02945101368941394
2013-08-01,-0.034322073128472574,-0.012270092591814219,0.014413136324873399
2013-09-01,0.12278639170463279,-0.050643732818755005,0.004199922175325277
2013-10-01,-0.09405063086394261,0.08701137698962924,-0.02805113799750547
2013-11-01,0.06456494505650401,0.03509131981127034,0.07071552479839749
2013-12-01,-0.045925661976980336,-0.03509131981127034,-0.046864308976217295
2014-01-01,-0.03301117041570212,0.0,-0.0016849203649194067
2014-02-01,0.042921440438033365,0.011834457647003305,-0.022166295457260787
2014-03-01,0.06790342360588397,0.03468555798789019,0.0
2014-04-01,0.006696026549420253,0.03352269203864289,-0.01739174271186883
2014-05-01,-0.018668748499713672,-0.1801261662305187,0.003502630551201591
2014-06-01,-0.00936866421137239,0.03871451218069044,-0.014971657899966573
2014-07-01,0.02431230214243918,-0.051959738930711374,0.009713100646499662
2014-08-01,0.040691842510179654,0.076961041136129,0.03284651377229597
2014-09-01,-0.06275156057491138,0.024391453124159135,-0.07319264028203332
2014-10-01,-0.05955519776736118,-0.049392755329576765,-0.019400146545791586
2014-11-01,0.0887663169897186,-0.06538275926285131,0.008360476008460793
2014-12-01,-0.05096830657173346,-0.04138521616285473,0.06274459108267472
2015-01-01,0.04448653761973986,0.04138521616285473,-0.051704920545343924
2015-02-01,0.017630788442455803,-0.04138521616285473,0.0350597705865896
2015-03-01,0.06060804077243631,0.013986241974739855,-0.05073551804139864
2015-04-01,0.023423549497838536,0.06713930283762881,0.03829091299331466
2015-05-01,-0.055503213035560606,0.025642430613337375,0.012444605048083979
2015-06-01,-0.08218331022092329,-0.1950605825713847,-0.13201815147825524
2015-07-01,0.02011942834679914,-0.031252543504104224,0.10878207479740709
2015-08-01,-0.07597823625642697,0.11954515064978288,-0.014572206859090997
2015-09-01,0.05427134850293669,0.027779564107075494,0.023573167718066834
2015-10-01,0.08759869993071945,0.10398971352404818,0.04039179447060093
2015-11-01,-0.033860774206169175,-0.02500130220541763,-0.03770722909993118
2015-12-01,-0.0472058359902956,-0.051959738930711374,-0.008075414005546122
2016-01-01,-0.05328382055911529,-0.09798040836020316,0.026668247082161756
2016-02-01,-0.01795229568373724,-0.04512043528047016,-0.04485056616535221
2016-03-01,0.09482855382574229,0.05971923470162288,0.019082814416440996
2016-04-01,-0.029628175492788067,0.06995858860691051,0.010743165098813456
2016-05-01,-0.04112804902516132,-0.055569851154810834,-0.01435002202980673
2016-06-01,-0.05888750686243682,-0.028987536873252395,0.008992866360563845
2016-07-01,0.1416153343977289,0.0431721718652085,0.01333945969392758
2016-08-01,-0.06631720284141984,0.04138521616285473,0.008795131452827398
2016-09-01,-0.08865890006200594,-0.027398974188114877,-0.02303024727469971
2016-10-01,0.011714135497380873,0.0,0.0438282239691814
2016-11-01,0.000988305137271439,-0.1823215567939549,-0.08032862618870773
2016-12-01,0.031865308791134694,-0.08701137698962924,0.021150213681892183
2017-01-01,0.04510792754130577,-0.07550755250814545,-0.006389798098771493
2017-02-01,-0.004277427847778625,0.07550755250814545,0.0172496333347798
2017-03-01,0.026985125137785282,0.07020425867324853,-0.03947277011948991
2017-04-01,0.12891365407703415,0.15656906069153997,0.01117330059812538
2017-05-01,0.014220303791169897,0.17261274266699367,-0.004640379556502872
2017-06-01,-0.038976231633661484,0.12588024588900293,-0.0009306654929526204
2017-07-01,-0.0006268189146352299,0.031748698314579826,-0.00935460516722042
2017-08-01,-0.153121113273321,-0.031748698314579826,0.01677578950483749
2017-09-01,0.05533564028212279,-0.06669137449867257,0.009199696898423149
2017-10-01,0.0837134385081102,0.044951387862266046,-0.012903404835907573
2017-11-01,0.06506073214538599,0.07410797215372256,0.05679759839313281
2017-12-01,-0.07061756721395351,-0.03109058707003154,-0.042978861685536884
2018-01-01,0.03332893259791181,-0.054067221270275745,-0.036333759075231065
2018-02-01,-0.07340138318244094,-0.01117330059812538,0.08890711215452907
2018-03-01,-0.016683033142224524,-0.02272825107755594,-0.03713954694945709
2018-04-01,0.017443417172779085,-0.011560822401076365,-0.017265308473309204
2018-05-01,0.004833903540885309,0.034289073478632304,0.008215472953391867
2018-06-01,-0.03855527651156443,-0.05781957088882628,-0.011888571665252812
2018-07-01,-0.11164770900254783,-0.08701137698962924,0.02453553336601999
2018-08-01,0.05545996708239631,-0.09531017980432477,-0.004498433136862268
2018-09-01,0.04918608617796938,-0.08961215868968786,0.002701487460160301
2018-10-01,-0.15131781674295386,0.04580953603129423,0.0
2018-11-01,0.07398461333978368,-0.07755823434587406,-0.01358101453529681
2018-12-01,-0.014647542440886951,0.0,0.015377960211998776
2019-01-01,0.05344460781599292,0.04725288485054513,0.008936609966407438
2019-02-01,-0.014816620844751327,0.07410797215372256,-0.006247231384436169
2019-03-01,-0.001253394774492378,0.0,0.01510468521849706
2019-04-01,0.061018012852191994,0.055569851154810834,-0.023194616980468652
2019-05-01,-0.0715245184087312,-0.06995858860691051,0.03894297394860757
2019-06-01,0.0008445946448016883,0.0,-0.03085304218663598
2019-07-01,-0.061251401147958795,-0.029413885206293955,0.0026821652199391366
2019-08-01,-0.07318494161524214,-0.06155789299943315,0.03422887905061156
